Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Liver Cirrhosis, Experimental	132/801	3.55981433222828e-32	2.51963658435117e-28	132	0.164794007490637	ALDH1L1;VIPR1;STEAP4;AQP7;SLC4A4;CNDP1;RGS2;IYD;ADORA3;MYC;COTL1;LRAT;PDGFRA;SDS;IGFBP3;SEMA6D;HGF;CYBB;KMO;MT1A;PPP1R3B;AGTR1;IGFALS;ATF3;CSF1R;MRO;CFP;SOCS2;PLAC8;ADH4;C7;HMOX1;PCK1;PRODH;HAO2;PLTP;CD163;SLC10A1;TGFB3;TFPI2;LY86;IGF1;CYP26A1;HAL;PTPRC;CXCL12;NBEA;CYP1A2;ID4;FXYD6;IL7R;ARHGAP9;EIF4E3;FHL1;FHL2;GPT;CXCL1;CSAD;ADRA1B;SERPINA7;SERPINA4;FTCD;GHR;THBD;FCGR3A;CA3;KYNU;CD38;MME;ANXA3;MMP2;BGN;IL18;PLA2G4A;NRG1;SERPINB9;APOA4;GFRA1;FOS;PRODH2;INMT;ASPN;HCK;PLSCR1;DEPDC7;ZEB2;IL1B;ANGPTL3;IRF8;LCP2;CD48;PDZRN3;TLR4;C1QB;C1QA;OAT;BCL2A1;ADH1C;GLS2;PTGER2;CD5L;PRUNE2;FGL2;AFM;PTN;PTGS2;PTGS1;GNA14;SULT1E1;OLFML3;CCL5;HSD17B2;CCL2;FYN;SLC17A1;SLC17A2;IL33;GK;AADAT;LUM;BBOX1;NAP1L5;MFAP4;KRT19;AXL;XPNPEP2;GSTA2;IL2RB;SIGLEC5;SPSB4;OTC;C1QC
Rheumatoid Arthritis	215/1833	6.14734515906434e-30	2.17554545179287e-26	215	0.117294053464266	CNTFR;VIPR1;CLEC10A;SERPINE1;LST1;PRF1;BACH2;EDNRB;MYC;LRAT;VSIG4;EPHB1;SDS;KRT7;TIMD4;EREG;SIGIRR;AR;SFRP1;SFRP5;CD226;EPHA3;CFTR;SDC3;SLC22A1;TGFA;GATA3;CD1D;HSD11B1;CD79A;CYP2B6;KLRK1;HMOX1;CD14;CCR1;EGR1;EGR2;TSLP;GADD45B;SH2D1A;PDE2A;IGF2;PRG4;IGF1;PPBP;CYP26A1;MSRA;MARCO;CILP;CYP1A2;IGKV1D-8;HAMP;SIGLEC9;IL24;GPT;CD3E;AREG;CD38;ANXA3;FCRL3;SFTPD;BGN;IL18;AMPD1;FOS;PDCD1LG2;CYP7B1;F3;GPRC5A;F9;IL1B;RARB;HCLS1;ANGPTL4;DNASE1L3;TLR4;ENG;GSTP1;ANKRD55;NR1I3;PTGER2;NR1I2;KCNA3;PTN;CXCR6;PTGS2;LILRA2;LILRA3;PTGS1;IGKC;IL33;CCL23;CCL21;SCD5;LILRB1;LILRB2;HLA-DPB1;SAA1;FOSB;FAS;SIGLEC1;CD69;IL18R1;STEAP4;CLSTN2;CD80;CCL4L2;IGHG3;ZFP36;IL18RAP;COTL1;SLC16A4;RAG1;CA13;PDGFRA;SEMA6A;IGFBP3;HGF;CYBB;CD8A;MASP2;LPA;S100A8;ABCG2;CD274;CSF1R;KLRB1;TNFRSF11B;VTCN1;CYP2C19;SOCS2;SOCS3;TNFRSF17;KLRC1;WNT2;CD163;AGXT2;TGFB3;TFPI2;DEFA3;ESR1;SELE;BMP6;BMP5;SELP;NR4A2;RCAN1;NR4A1;IL6;CXCL12;PTPRC;NR4A3;SELL;NAT2;LHX2;KLRD1;SHBG;IL7R;IGKV3-20;CXCL6;TAT;LECT2;FHL1;FHL2;PTPN22;SLC2A3;CXCL1;ADRA1A;CXCL2;CYR61;THBD;FCGR3A;FCGR3B;CA3;CA2;TAGAP;PHACTR3;CLEC1B;MBL2;CR1;MMP2;PLA2G4A;ADRA2B;ASPN;ALDH1A3;MMRN1;IRF4;IRF8;LCP2;MS4A1;ASPA;ITGA9;CRP;BCL2A1;CLEC12A;LCAT;PRELP;THBS1;CCL5;CCL4;CCL3;CCL2;NCAM1;SNCA;PLA2G2A;B3GAT1;GZMB;DHODH;CD4;IL2RB;SARDH;SPRY2;TEK;FCGR2B;CD244
Coronary Arteriosclerosis	121/760	4.50327576317682e-28	1.06247286172552e-24	121	0.159210526315789	PLGLB1;EPO;PLGLB2;SERPINE1;PRF1;AQP4;CNDP1;EDNRB;ADORA3;LEPR;SVEP1;PTGDS;SEMA6A;HGF;CYBB;ANK2;AR;ACE2;FOLH1;LPAL2;AGTR1;LPA;ATF3;CETP;TNFRSF11B;ADRB1;PLA2G5;SLC5A1;CYP2C19;CYP2C18;HSD11B1;CYP2B6;ADAMTS13;NPC1L1;HMOX1;S100A12;CD14;PROM1;PLTP;FGF23;CYP2J2;EGR1;EPHX2;IGF2;DEFA3;IGF1;PPBP;ESR1;SELE;SELP;SLC2A9;CYP2C9;RCAN1;BHMT;CYP2C8;EHD3;IL6;CXCL12;SELL;NAT2;CYP1A1;SHBG;HSPB6;FHL2;TCF21;LDB2;CYR61;THBD;FCGR3A;FCGR3B;ADAMTS1;CA2;MBL2;MMP7;MMP2;CYP4A11;IL18;AMPD1;SERPINB9;APOA4;ABCC9;FOS;F3;ADRA2B;APOA5;F8;MMRN1;IL1B;ANGPTL3;IRF8;ANGPTL4;TLR4;CRP;ADH1C;BCL2A1;ADH1B;NR1I2;LCAT;SLC3A1;CXCR6;PTGS2;CYP3A4;THBS1;PTGS1;IL1RL1;CCL5;CCL2;NCAM1;CCL19;P2RY12;BCHE;NTRK2;IL33;CCL21;GCH1;GALNT3;LUM;PLA2G2A;GZMB;FAS;FCGR2B
Obesity	215/1961	6.6955701637834e-26	1.18478114048147e-22	215	0.109637939826619	ACSM3;HHIP;SERPINE1;AQP9;AQP7;CRHBP;EDNRB;MYC;PROK2;LRAT;MLYCD;PTGDS;SDS;KRT7;SLC6A12;FNDC5;ACE2;AR;SFRP1;PPP1R3B;SFRP5;AGTR1;CYP2E1;ZFPM2;ATF3;TSPYL5;CETP;SDC3;SLC22A1;FPR1;TGFA;SLC5A1;PLA2G5;CD1D;CD1C;APCDD1;HSD11B1;ADAMTS13;CYP2B6;KLRK1;PRKAR2B;S100A12;HMOX1;CD14;TRPM8;PCK1;PROM1;EGR1;TSLP;CADM2;IGF2;PRG4;IGF1;CYP2C9;MSRA;ALDH6A1;HAL;CYP1A2;CYP1A1;SNAI1;PEMT;LRRN1;HAMP;MOGAT2;GPT;SERPINA4;C1QTNF1;C1QTNF7;CD38;MME;BGN;IL18;FOS;F3;ANGPTL6;IL1B;ANGPTL4;TLR4;OAT;ADH1B;GSTP1;NR1I3;CD5L;NR1I2;KCNA3;TMPRSS2;SGMS2;CXCR6;PTGS2;SULT1E1;GPC4;CCL19;XDH;BCHE;GK;GCGR;F11;LILRB1;SULF2;TPPP2;SAA1;FOSB;FAS;CCDC3;CD69;LGR6;SIGLEC7;OTC;ALDH1L1;STEAP4;EPO;DEFB1;IL1RAP;SLC8A1;NR3C2;RGS2;ZFP36;DACH1;ADORA3;LEPR;RAG1;SEMA6A;IGFBP3;HGF;NPY1R;CYBB;GEM;LPAL2;GPD1;KLRF1;FETUB;LPA;SLC27A2;S100A8;ABCG2;CSF1R;NNMT;SUCNR1;CHRNA4;NPR3;DPT;TNFRSF11B;GPR83;ADRB1;CYP2C19;SOCS3;NPC1L1;PLTP;GCKR;CD163;TGFB3;ESRRG;ESR1;SELE;SELP;NR4A1;IL6;NR4A3;NBEA;NAT2;CNTN4;SHBG;IL7R;LECT2;OXT;ADRA1A;CXCL2;CYR61;GHR;THBD;FCGR3A;FCGR3B;CA3;CPT2;CNGA1;PRKG1;MBL2;DACT1;PEG3;NPY5R;MMP2;PLA2G4A;IRAK3;APOA4;APOA5;ADRA2B;DCN;CYP2A6;ITGAD;MMRN1;NRG4;MS4A1;ASPA;ITIH5;CRP;ITLN1;ETFDH;LCAT;CYP3A4;THBS1;PDE11A;CCL5;CCL4;CCL3;CCL2;FYN;SLC13A5;WASF3;NTRK2;PCDH9;KLF4;NAP1L5;TM6SF2;TBX15;THRSP
Cardiovascular Diseases	119/787	1.42174834097351e-25	2.0126269514821e-22	119	0.151207115628971	EPO;HHIP;SERPINE1;NR3C2;RGS2;DACH1;EDNRB;LEPR;SEMA6A;IGFBP3;HGF;NPY1R;CYBB;ANK2;ACE2;MT1A;FOLH1;LPAL2;AGTR1;MT1B;LPA;HPD;S100A8;CETP;SHMT1;NPR3;TNFRSF11B;ADRB1;CYP2C19;FBLN5;HSD11B1;SOCS2;CYP2B6;ADAMTS13;HMOX1;CD14;FGF23;PLTP;CYP2J2;AGXT2;EPHX2;TFPI2;IGF2;PRG4;IGF1;PPBP;ESR1;SELE;NR4A2;SELP;SLC2A9;MSRA;BHMT;IL6;CXCL12;VNN1;SHBG;HAMP;TAT;FHL1;HBB;PTPN22;DBH;THBD;FCGR3A;FCGR3B;MBL2;PTGIR;PTGIS;MMP2;SFTPD;BGN;IL18;PLA2G4A;AMPD1;NRG1;APOA4;ABCC9;FOS;HBA1;F3;ADRA2B;APOA5;F8;F9;MMRN1;IL1B;ANGPTL3;ANGPTL4;TLR4;ENG;CRP;ADH1C;ADH1B;PTGER2;NR1I2;KCNA3;LCAT;PTGS2;THBS1;PTGS1;IL1RL1;RELN;CCL5;CCL2;XDH;P2RY12;IL33;BCHE;GCH1;CCL21;PLA2G2A;F11;TM6SF2;MFAP4;SAA1;FOSB;SPRY2;OTC
Lupus Erythematosus, Systemic	146/1113	7.95530915844106e-25	9.38461303724098e-22	146	0.131176999101527	CDA;FCN2;CD80;SERPINE1;PRF1;AQP4;IKZF1;BACH2;IGHG3;LEPR;COTL1;RAG1;SDS;SEMA6A;IGFBP3;HGF;CYBB;TIMD4;GEM;SIGIRR;AR;MT1A;CD8B;CD8A;MT1G;CD226;CYP2E1;MASP1;S100A8;LY6E;CD274;CETP;KLRB1;FPR1;TNFRSF11B;GATA3;CD1D;CYP2C19;SOCS2;SOCS3;CYP2B6;C6;FLRT2;PRKAR2B;TNFRSF17;ARSF;SLAMF6;CD14;PRODH;PROM1;CCR1;EGR2;CD163;EGR3;SH2D1A;IGF2;DEFA3;ESR1;SELE;PBX1;SELP;IL6;HAL;CXCL12;PTPRC;NAT1;SELL;NAT2;CYP1A1;IL7R;HAMP;IGKV3-20;LRRK2;IL24;PTPN22;SLC2A3;C8A;THBD;FCGR3A;FCGR3B;CD38;PHGDH;CD33;PRKG1;MBL2;MMP7;CR1;ANXA3;FCRL3;SFTPD;BCKDHB;BGN;IL18;FOS;PDCD1LG2;F3;CLDN10;PLSCR1;AIM2;IL1B;IRF8;HCLS1;CD48;MS4A1;DNASE1L3;TLR4;ENG;RBMS3;CCL14;CRP;C1QB;C1QA;GSTP1;ANKRD55;KCNA3;NLRC4;PTGS2;LILRA2;LILRA3;CCL5;CCL2;FYN;NCAM1;SNCA;P2RY12;BCHE;GABRP;LUM;PLA2G2A;SCD5;GZMB;LILRB1;LILRB2;CD4;POU2AF1;CFHR4;CAMK4;HLA-DPB1;FOSB;FAS;SIGLEC1;CD69;FCGR2B;CD244;IL18R1;C1QC
Coronary Artery Disease	134/981	1.93675466378737e-24	1.72115974633479e-21	134	0.136595310907238	PLGLB1;PLGLB2;EPO;CD80;SERPINE1;CNDP1;NR3C2;ADORA3;LEPR;SVEP1;CA13;SEMA6A;KCNH7;CYBB;AR;ACE2;FOLH1;LPAL2;AGTR1;ZFPM2;LPA;S100A8;CFTR;ABCG2;CETP;TNFRSF11B;ADRB1;PLA2G5;CYP2C19;ARHGAP15;CYP2C18;HSD11B1;CYP2B6;ADAMTS13;TBXA2R;NPC1L1;HMOX1;S100A12;CD14;PROM1;FGF23;PLTP;CYP2J2;EGR1;TGFB3;EPHX2;SH2D1A;IGF2;DEFA3;IGF1;PPBP;ESR1;SELE;SELP;SLC2A9;CYP2C9;BHMT;CYP2C8;IL6;EHD3;CXCL12;SELL;NAT2;CYP1A1;FAT4;SHBG;KCNK5;CXCL6;COL14A1;TCF21;CXCL1;LDB2;THBD;FCGR3A;FCGR3B;ADAMTS1;HGFAC;PRKG1;MBL2;MMP7;MMP2;CYP4A11;IL18;PLA2G4A;AMPD1;NRG1;APOA4;FOS;F3;ADRA2B;APOA5;F8;ZEB2;F9;MMRN1;IL1B;ANGPTL3;IRF8;ANGPTL4;TLR4;CRP;RAMP3;BCL2A1;ADH1C;ADH1B;GSTP1;PTGER2;NR1I2;KCNA3;LCAT;CXCR6;PTGS2;CYP3A4;THBS1;PTGS1;IL1RL1;CCL5;CCL2;NCAM1;CCL19;P2RY12;NTRK2;IL33;BCHE;GCH1;GALNT3;CCL21;PLA2G2A;F11;TM6SF2;SAA1;FAS;TEK;FCGR2B
Arteriosclerosis	143/1087	1.94536281021169e-24	1.72115974633479e-21	143	0.131554737810488	STEAP4;RASL11B;CCL4L2;SERPINE1;PRF1;NR3C2;RGS2;ZFP36;RGS1;MYC;LEPR;PTGDS;RAG1;SEMA6A;HGF;CYBB;PCOLCE;CH25H;ACE2;AR;LPAL2;AGTR1;MT1F;CYP2E1;LPA;S100A8;EPHA2;ABCG2;CD274;CETP;CSF1R;SUCNR1;SLC22A1;TNFRSF11B;HSD11B1;SOCS3;CYP2B6;KLRK1;TBXA2R;NPC1L1;S100A12;HMOX1;CD14;FGF23;PLTP;CYP2J2;EGR1;NFE2;CD163;TSLP;EPHX2;TFPI2;IGF2;IGF1;PPBP;ESR1;SELE;SELP;SLC2A9;CYP2C9;CYP26A1;MSRA;RCAN1;NR4A1;CYP2C8;IL6;HAL;CXCL12;NR4A3;TBXAS1;CYP1A2;CYP1A1;ID3;SHBG;HAMP;TCF21;PTPN22;CXCL1;LDB2;CYR61;THBD;FCGR3A;FCGR3B;ADAMTS1;MBL2;PTGIR;MMP7;CR1;PTGIS;MMP2;SFTPD;BGN;IL18;PLA2G4A;NRG1;SERPINB9;APOA4;FOS;F3;APOA5;ADRA2B;DCN;ITGAD;MMRN1;IL1B;ANGPTL3;ANGPTL4;TLR4;ENG;CRP;ITIH4;CD5L;NR1I2;KCNA3;LCAT;SGMS2;PTN;CXCR6;PTGS2;CYP3A4;THBS1;PTGS1;IL1RL1;RELN;CCL5;CCL4;CCL3;CCL2;CCL19;XDH;P2RY12;P2RY13;IL33;CCL23;GCH1;CCL21;PLA2G2A;GZMB;KLF4;TM6SF2;SAA1;TEK;FMOD
Asthma	159/1313	2.57275539462205e-23	2.02332918701499e-20	159	0.121096725057121	GPR65;HHIP;CD80;SERPINE1;PRF1;DEFB1;AQP4;CXCL14;BACH2;IGHG3;RGS2;IGHG1;ZFP36;IGHG2;EDNRB;IL18RAP;LEPR;IL13RA2;PTGDS;RAG1;PDGFRA;IGFBP3;CYBB;TIMD4;LIFR;SIGIRR;AR;CRISPLD2;AGTR1;CYP2E1;ATF3;S100A8;SLC27A5;CFTR;CSF1R;KLRB1;SLC22A1;TGFA;GATA3;CD1D;CYP2C19;ACMSD;SOCS3;CYP2B6;TBXA2R;S100A12;HMOX1;CD14;TRPM8;CCR1;CYP2J2;EGR1;TSLP;CRTAM;PPBP;MCC;ESR1;SELE;FOSL1;SELP;IL6;CXCL12;VNN1;NR4A3;NAT1;SELL;NAT2;TBXAS1;CYP1A2;ALPL;IL7R;ITK;HSPB6;FHL2;WFDC1;OXT;PTPN22;CXCL1;ADRA1B;AREG;ADRA1A;MYOM2;THBD;GLT1D1;FCGR3A;FCGR3B;ADAMTS1;PDE4B;FCER1A;CD38;GRASP;CD33;PRKG1;MBL2;PTGIR;MMP7;CR1;MMP2;FCRL3;SFTPD;IL18;PLA2G4A;NRG1;IRAK3;FOS;F3;ADRA2B;DCN;TGFBR3;AIM2;MMRN1;IRF4;IL1B;TFF2;CD48;MS4A1;DNASE1L3;TLR4;RBMS3;CRP;SYNPO2;GSTP1;PTGER2;NR1I2;ITLN1;CXCR6;PTGS2;CYP3A4;THBS1;SLC7A2;PTGS1;IL1RL1;PDE11A;CCL5;NTF3;CCL3;CCL2;FYN;CCL19;XDH;P2RY12;IL33;CCL21;PLA2G2A;B3GAT1;GZMB;KLK11;KRT19;AXL;IL2RB;HLA-DPB1;FOSB;FAS;SIGLEC1;CD69;FCGR2B;ALLC;KLKB1;IL18R1
Atherosclerosis	144/1134	4.35002921814385e-23	3.07895068060221e-20	144	0.126984126984127	STEAP4;CCL4L2;SERPINE1;PRF1;NR3C2;RGS2;ZFP36;EDNRB;RGS1;MYC;LEPR;PTGDS;RAG1;SEMA6A;IGFBP3;HGF;CYBB;PCOLCE;CH25H;ACE2;AR;LPAL2;AGTR1;MT1F;CYP2E1;LPA;S100A8;EPHA2;ABCG2;CD274;CETP;CSF1R;SUCNR1;PDE1A;SLC22A1;TNFRSF11B;CYP2C19;HSD11B1;SOCS3;CYP2B6;KLRK1;NPC1L1;S100A12;HMOX1;CD14;FGF23;PLTP;CYP2J2;EGR1;NFE2;CD163;TSLP;EPHX2;TFPI2;IGF2;IGF1;PPBP;ESR1;SELE;SELP;SLC2A9;CYP2C9;CYP26A1;MSRA;RCAN1;NR4A1;CYP2C8;IL6;HAL;CXCL12;NR4A3;CYP1A2;CYP1A1;ID3;SHBG;HAMP;TCF21;PTPN22;CXCL1;LDB2;CYR61;THBD;FCGR3A;FCGR3B;ADAMTS1;MBL2;PTGIR;MMP7;CR1;PTGIS;MMP2;SFTPD;BGN;IL18;PLA2G4A;NRG1;SERPINB9;APOA4;FOS;F3;APOA5;ADRA2B;DCN;TGFBR3;ITGAD;MMRN1;IL1B;ANGPTL3;ANGPTL4;TLR4;ENG;CRP;ITIH4;CD5L;NR1I2;KCNA3;LCAT;SGMS2;PTN;CXCR6;PTGS2;CYP3A4;THBS1;PTGS1;IL1RL1;RELN;CCL5;CCL4;CCL3;CCL2;CCL19;XDH;P2RY12;P2RY13;IL33;CCL23;GCH1;CCL21;PLA2G2A;GZMB;KLF4;TM6SF2;SAA1;FMOD
