Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Neoplasm Metastasis	194/3920	6.46342016011326e-14	3.26208815480916e-10	194	0.0494897959183673	EHMT2;MKI67;SMC4;CDC20;MTBP;PEG10;CHEK1;MAGEA1;GTSE1;MAGEA3;WDHD1;HES6;DKK1;SFRP4;PRR11;CDCA2;THY1;IQGAP3;CYP27B1;RACGAP1;NEU1;SFN;MAGEC2;KCNN3;RAB11FIP4;PLK4;CHKA;PLK1;CDC6;SQLE;TPX2;AKR1B10;FASN;REN;HOXD9;EZH2;APOBEC3B;TOP2A;FEN1;SUV39H1;KIF14;PCSK9;SLC7A11;BRCA1;KRT20;ROBO1;ESM1;CHAF1A;PEA15;PBK;FLVCR1;CD34;CEP55;HELLS;DUSP9;MMP12;MMP11;KIFC1;MAPT;GUCY2C;COL11A1;CAPG;AFP;TYMS;HOXD10;CYP17A1;CST1;GPC3;KISS1R;GCNT3;PAK6;PRAME;CSMD1;CAP2;CCL25;CA12;NQO1;GINS2;CDKN2B;CDKN2C;CDKN2A;CCL20;ATAD2;PLXDC1;CENPF;CENPH;FAP;TRIP13;CDKN3;MAD2L1;CDK5R1;CHRM3;REG1A;GMNN;BUB1B;MSI1;HOXA13;HOXA10;FADS2;PTTG1;NUSAP1;PLXNC1;MAP3K9;KPNA2;PRND;FADS1;G6PD;SPINK1;CDC25A;PYGO2;ALDH3A1;MYCN;MSH2;CCNE2;CCNE1;FANCD2;NOTCH3;BLM;DLX2;MAGEA12;DLX6;LPL;HMMR;FUT2;ACACA;CCNB2;CCNB1;PODXL;UBD;ZKSCAN3;SMYD3;FAM83D;ECT2;DSCR8;ZNF300;UBE2C;HTR1D;HMGA1;FBXO32;BCL9;KIF18A;LIN28B;DIAPH3;P4HA2;UBE2T;DLG5;LCN2;CSPG4;GPSM2;DOCK3;KCNK9;MCM8;RASGRF2;TREM2;FOXM1;ZIC2;EXO1;MDK;SIX2;DNMT3B;MYBL2;EDIL3;MSMB;ABCC4;VWF;UPK3A;MMP9;ETV4;CCNA2;BIRC5;CDH13;ITGA6;BCAT1;MCM2;COL15A1;PLA2G1B;LAMA3;TTK;AURKB;AURKA;IGF2BP1;E2F1;E2F2;SPOCK1;IGF2BP3;BUB1;CTHRC1;RRM2;SPAG5;ARID3A;SHCBP1;RAD51;PPP2R2C;SCD
Colorectal Neoplasms	78/1073	3.85215528502301e-13	9.72091386175556e-10	78	0.0726933830382106	TOP2A;FEN1;KCNK9;SUV39H1;REG1A;BUB1B;BRCA1;FOXM1;MKI67;KRT20;ROBO1;FADS2;ESM1;PTTG1;EXO1;CHEK1;PBK;DNMT3B;MAGEA1;NUSAP1;MYBL2;TK1;FADS1;MAGEA3;RNF43;ABCC4;SPINK1;CDC25C;DKK1;PGC;MMP9;ETV4;WDR76;ENAH;CCNA2;MMP11;SFRP4;MSH2;MEP1A;FANCD2;CD109;BIRC5;CDH13;BCAT1;MCM2;GUCY2C;REG3A;NOTCH3;BLM;HOXD1;COL11A1;HMMR;TYMS;CENPA;AURKA;CCNB1;ZKSCAN3;GCNT3;SFN;CSMD1;BUB1;CA12;NQO1;CDKN2B;RRM2;CHKA;CDKN2A;PLK1;ALOX15B;AKR1B10;CABYR;CENPH;FAP;MYO1A;HOXD9;SLC26A3;SLC26A6;MAD2L1
Liver carcinoma	175/3593	8.5361668766583e-12	1.43606780754981e-08	175	0.0487058168661286	REG1A;GMNN;HDAC11;BUB1B;MSI1;MKI67;SMC4;HOXA13;GLDN;CDC20;MTBP;FADS2;PTTG1;PEG10;CHEK1;MAGEA1;NEK2;OIP5;KPNA2;MAGEA3;WDHD1;HES6;RNF43;G6PD;SPINK1;VASH2;ACSL4;CDC25C;DKK1;PGC;CDC25A;PYGO2;SFRP4;ALDH3A1;MELK;MYCN;MSH2;SMO;CCNE2;CCNE1;FANCD2;REG3A;NOTCH3;CDCA3;SHOX2;LPL;THY1;FUT2;SEZ6L2;IQGAP3;ACACA;RAD51AP1;CYP27B1;CCNB1;RACGAP1;PODXL;UBD;SFN;SMYD3;MAGEC2;ECT2;RAB11FIP4;PLK4;RPL39L;CHKA;UBE2C;PLK1;HMGA1;CDC6;NDC80;FANCG;ISX;SQLE;BCL9;ANLN;TPX2;KIF18A;LIN28B;AKR1B10;P4HA2;FASN;LCN2;REN;CSPG4;HOXD9;SLC26A3;EZH2;APOBEC3B;TRIM71;TOP2A;GPSM2;FEN1;SUV39H1;KIF14;PCSK9;BRCA1;LAMC1;FOXM1;ROBO1;LMNB1;ESM1;ZIC2;MDK;PEA15;PBK;DNMT3B;MYBL2;EDIL3;CD34;CEP55;MSMB;ABCC4;RFC4;KIF23;MMP9;SREBF2;TSPY1;MMP12;CCNA2;MMP11;ASPM;BIRC5;CDH13;ITGA6;DTL;MCM2;PLA2G1B;TTK;AFP;LIN9;TYMS;CENPA;HOXD10;CYP7A1;THBS4;AURKB;CYP17A1;AURKA;HIST2H4A;DUOX1;IGF2BP1;E2F1;GPC3;KISS1R;GCNT3;E2F2;SPOCK1;PRAME;IGF2BP3;CSMD1;BUB1;E2F7;E2F8;CTHRC1;CAP2;NQO1;CDKN2B;CDKN2C;RRM2;ATAD5;CDKN2A;CCL20;ATAD2;CENPE;RAD51;FAP;GSTA4;MYO1A;SCD;ADM2;GAGE5;GAGE4;SPC24;CDKN3;MAD2L1
Primary microcephaly	21/116	3.53731160414351e-11	4.46320291652807e-08	21	0.181034482758621	PLK4;FANCI;BLM;STIL;CKAP2L;CEP152;GMNN;NSMCE2;KIF14;CDC6;KIF11;FANCE;FANCG;TRAIP;ASPM;CENPE;BRIP1;CENPF;MYCN;FANCD2;SASS6
Colorectal Cancer	161/3298	7.2825156775209e-11	7.3509713248896e-08	161	0.048817465130382	PAGE4;ZNF572;CHRM3;EHMT2;REG1A;BUB1B;MSI1;MKI67;SMC4;FADS2;SCGN;PTTG1;CHEK1;MAEL;NUSAP1;PLCE1;NEK2;KPNA2;FADS1;WDHD1;RNF43;G6PD;SPINK1;ACSL4;DKK1;PGC;WDR76;CDC25A;SFRP4;MYCN;MSH2;SMO;CCNE1;FANCD2;CD109;REG3A;NOTCH3;BLM;HOXD1;IGSF1;NCAPG;HMMR;FUT2;ACACA;FAM83H;CYP27B1;BRIP1;CCNB1;RACGAP1;PODXL;UBD;NEU1;ZKSCAN3;SMYD3;MAGEC2;FAM83D;ECT2;PLK4;CHKA;UBE2C;PLK1;HTR1D;HMGA1;CDC7;ALOX15B;FANCG;ISX;BCL9;TPX2;KIF18A;LIN28B;AKR1B10;CABYR;TNFSF4;FASN;LCN2;REN;SERPINI1;HOXD9;SLC26A3;HOXD8;EZH2;TOP2A;FEN1;DOCK3;RASGRF2;SUV39H1;BRCA1;LAMC1;FOXM1;KRT20;ROBO1;ESM1;CHAF1A;EXO1;MDK;NUF2;PBK;DNMT3B;TK1;CD34;CEP55;MSMB;HELLS;ABCC4;RFC3;KIF23;MMP9;ETV4;SREBF2;MMP12;CNKSR2;CCNA2;MMP11;COL2A1;BIRC5;CDH13;BCAT1;DTL;GUCY2C;PLA2G1B;COL11A1;TTK;AFP;TYMS;CENPA;HOXD10;CYP7A1;THBS4;AURKB;CYP17A1;AURKA;HIST2H4A;RASD2;CST1;E2F1;KISS1R;GCNT3;E2F2;PAK6;IGF2BP3;CSMD1;BUB1;CTHRC1;NQO1;POLQ;CDKN2B;RRM2;CDKN2A;CCL20;ODAM;SORT1;ARID3A;PLXDC1;CENPE;CENPH;FAP;MYO1A;SCD;CDKN3;MAD2L1
Colorectal Carcinoma	146/2931	1.93878267919809e-10	1.63083936365213e-07	146	0.049812350733538	PAGE4;CHRM3;EHMT2;REG1A;BUB1B;MSI1;MKI67;SMC4;FADS2;SCGN;PTTG1;CHEK1;MAEL;NUSAP1;PLCE1;NEK2;KPNA2;FADS1;RNF43;G6PD;SPINK1;CDC25C;DKK1;PGC;WDR76;CDC25A;SFRP4;MYCN;MSH2;SMO;CCNE1;FANCD2;CD109;REG3A;NOTCH3;BLM;HOXD1;HMMR;FUT2;FAM83H;CYP27B1;BRIP1;CCNB1;RACGAP1;PODXL;UBD;NEU1;ZKSCAN3;SMYD3;MAGEC2;FAM83D;ECT2;PLK4;CHKA;UBE2C;PLK1;HTR1D;HMGA1;CDC7;ALOX15B;ISX;BCL9;TPX2;KIF18A;LIN28B;AKR1B10;CABYR;TNFSF4;FASN;LCN2;REN;SERPINI1;HOXD9;SLC26A3;HOXD8;EZH2;TOP2A;FEN1;ONECUT2;SUV39H1;BRCA1;FOXM1;KRT20;ROBO1;ESM1;EXO1;MDK;PEA15;PBK;DNMT3B;TK1;CD34;MSMB;HELLS;ABCC4;KIF23;MMP9;ETV4;MMP12;ENAH;CCNA2;MMP11;COL2A1;BIRC5;CDH13;TRIM59;BCAT1;DTL;GUCY2C;PLA2G1B;COL11A1;TTK;AFP;TYMS;CENPA;HOXD10;CYP7A1;THBS4;AURKB;CYP17A1;AURKA;CST1;E2F1;GPC3;KISS1R;GCNT3;E2F2;IGF2BP3;CSMD1;BUB1;CTHRC1;NQO1;POLQ;CDKN2B;RRM2;CDKN2A;CCL20;SORT1;ARID3A;PLXDC1;CENPE;CENPH;FAP;MYO1A;SCD;MAD2L1
Breast Carcinoma	217/4963	3.10865433564109e-10	2.24133977599722e-07	217	0.0437235543018336	EHMT2;LDLRAD1;MKI67;SMC4;HS6ST2;CDC20;MTBP;PEG10;CHEK1;MAGEA1;FAM53A;GTSE1;MAGEA3;WDHD1;HES6;NSMCE2;EBF1;ACSL4;DKK1;SFRP4;CD109;KIF20A;ASF1B;PTGFR;HOXD1;IGSF1;SHOX2;CDCA8;THY1;CYP27B1;BRIP1;RACGAP1;SCGB1D2;NEU1;SFN;MAGEC2;KCNN3;PLK4;CHKA;PLK1;CDC7;CDC6;ZWINT;SQLE;ANLN;TPX2;AKR1B10;FASN;REN;EZH2;APOBEC3B;TOP2A;FEN1;SUV39H1;KIF14;SLC7A11;BRCA1;KRT20;ROBO1;SULT1C2;CHAF1B;CHAF1A;PEA15;PBK;TK1;CD34;CEP55;HELLS;KIF24;KIF23;SREBF2;TSPY1;MMP12;ENAH;MMP11;KIFC1;MAPT;COL11A1;CAPG;AFP;TYMS;CENPA;HOXD10;CYP17A1;CST1;GPC3;KISS1R;PAK6;RAD54L;PRAME;CTNNA2;CCL25;CA12;NQO1;GINS2;CDKN2B;CDKN2C;ATAD5;CDKN2A;CCL20;ODAM;SORT1;ATAD2;CENPE;CENPF;NR6A1;CENPH;FAP;TRIP13;CDKN3;MAD2L1;CDK5R1;PLVAP;REG1A;GMNN;BUB1B;MSI1;HOXA10;PTTG1;NUSAP1;NEK2;OIP5;MAP3K9;KPNA2;G6PD;SPINK1;VASH2;CDC25C;PGC;CDC25A;PYGO2;MELK;MYCN;MSH2;SMO;CCNE2;CCNE1;FANCD2;NOTCH3;BLM;DLX2;HMMR;FUT2;ACACA;CCNB2;CCNB1;PODXL;ZKSCAN3;SMYD3;PI3;OTX1;FAM83D;ZNF300;FANCI;UBE2C;HMGA1;FANCE;FBXO32;NDC80;BCL9;KIF18A;LIN28B;DIAPH3;P4HA2;UBE2T;DLG5;LCN2;CSPG4;ARHGAP11A;GPSM2;KCNK9;MCM8;FOXM1;EXO1;MDK;SIX2;DNMT3B;MYBL2;EDIL3;MSMB;ABCC4;RFC3;VWF;CKAP2;MMP9;ETV4;LSS;CCNA2;MCM3;BIRC5;CDH13;ITGA6;BCAT1;DTL;ITGB3BP;COL15A1;PLA2G1B;TTK;LIN9;AURKB;AURKA;CLN3;MSTO1;IGF2BP1;E2F1;E2F2;IGF2BP3;BUB1;E2F7;E2F8;CTHRC1;POLQ;RRM2;RAD51;PRC1;SCD;TRIM31
Malignant neoplasm of breast	219/5054	5.67658342822903e-10	3.58121457028399e-07	219	0.0433320142461417	EHMT2;MKI67;SMC4;HS6ST2;CDC20;MTBP;PEG10;CHEK1;MAGEA1;FAM53A;GTSE1;WDHD1;HES6;NSMCE2;EBF1;ACSL4;DKK1;CD109;KIF20A;ASF1B;PTGFR;HOXD1;IGSF1;SHOX2;CDCA8;THY1;CYP27B1;BRIP1;DSN1;RACGAP1;SCGB1D2;NEU1;SFN;MAGEC2;KCNN3;PLK4;CHKA;PLK1;PYCR1;CDC7;CDC6;ZWINT;SQLE;ANLN;TPX2;AKR1B10;FASN;REN;EZH2;APOBEC3B;TOP2A;FEN1;SUV39H1;KIF14;SLC7A11;BRCA1;KRT20;ROBO1;SULT1C2;CHAF1B;CHAF1A;PEA15;PBK;TK1;CD34;HELLS;KIF24;KIF23;SREBF2;TSPY1;MMP12;ENAH;MMP11;KIFC1;MAPT;PLCB1;COL11A1;CAPG;AFP;TYMS;CENPA;HOXD10;CYP17A1;CST1;GPC3;KISS1R;PAK6;RAD54L;PRAME;CSMD1;CCL25;CA12;NQO1;GINS2;CDKN2B;CDKN2C;CDKN2A;CCL20;ODAM;SORT1;ATAD2;CENPE;CENPF;NR6A1;CENPH;FAP;TRIP13;CDKN3;MAD2L1;CDK5R1;SEMA5B;REG1A;GMNN;BUB1B;MSI1;HOXA10;PTTG1;NUSAP1;NEK2;OIP5;MAP3K9;KPNA2;G6PD;SPINK1;VASH2;CDC25C;PGC;CDC25A;PYGO2;ALDH3A1;MELK;MYCN;MSH2;SMO;CCNE2;CCNE1;FANCD2;NOTCH3;BLM;DLX2;LPL;HMMR;FUT2;ACACA;CCNB2;CCNB1;PODXL;SMYD3;PI3;OTX1;FAM83D;ECT2;ZNF300;ANKRD29;UBE2C;HMGA1;FANCE;FBXO32;NDC80;BCL9;KIF18A;LIN28B;DIAPH3;P4HA2;UBE2T;DLG5;LCN2;CSPG4;ARHGAP11A;GPSM2;KCNK9;RASGRF2;FOXM1;SIX4;EXO1;MDK;SIX2;DNMT3B;MYBL2;EDIL3;MSMB;ABCC4;RFC3;RFC4;VWF;CKAP2;MMP9;ETV4;LSS;CCNA2;MCM3;BIRC5;CDH13;ITGA6;BCAT1;ITGB3BP;MCM2;COL15A1;PLA2G1B;LAMA3;TTK;LIN9;AURKB;AURKA;CLN3;MSTO1;IGF2BP1;E2F1;E2F2;IGF2BP3;BUB1;E2F7;E2F8;CTHRC1;POLQ;RRM2;RAD51;PRC1;SCD
Carcinogenesis	183/4065	1.84866528274941e-09	1.03669040911514e-06	183	0.0450184501845018	CHRM3;EHMT2;REG1A;BUB1B;MSI1;MKI67;SMC4;HOXA13;CDC20;HOXA10;MTBP;PTTG1;PEG10;CHEK1;MAGEA1;NUSAP1;CKMT1B;PLCE1;NEK2;OIP5;KPNA2;PRND;TGM3;RNF43;G6PD;VASH2;EBF1;ACSL4;ESCO2;CDC25C;DKK1;PGC;CDC25A;TRAIP;PYGO2;SFRP4;MELK;MYCN;MSH2;SMO;CCNE2;CCNE1;FANCD2;KIF20A;PRR11;REG3A;NOTCH3;BLM;CDCA3;SHOX2;CDCA7;FUT2;IQGAP3;CYP27B1;CCNB2;BRIP1;CCNB1;SCGB1D2;PODXL;UBD;NEU1;ZKSCAN3;SFN;SMYD3;MAGEC2;CHKA;UBE2C;PLK1;HMGA1;CDC7;CDC6;FBXO32;ALOX15B;NDC80;SQLE;ANLN;TPX2;KIF18A;LIN28B;AKR1B10;TNFSF4;FASN;UBE2T;KIF4A;TLX1;DLG5;LCN2;REN;SLC26A3;EZH2;APOBEC3B;TOP2A;TMEM45B;GPSM2;FEN1;SUV39H1;KIF14;TREM2;SLC7A11;BRCA1;FOXM1;KRT20;ROBO1;ESM1;CHAF1A;EXO1;MDK;SIX2;PEA15;PBK;DNMT3B;MUC13;MYBL2;EDIL3;CD34;CEP55;MSMB;GPR39;MMP9;ETV4;SREBF2;TSPY1;CCNA2;MMP11;COL2A1;DBF4;B3GNT5;BIRC5;MCM4;CDH13;TRIM59;ITGA6;BCAT1;MCM2;BCAT2;GUCY2C;PLA2G1B;COL11A1;GBA;TTK;CAPG;AFP;TYMS;CENPA;CYP7A1;THBS4;AURKB;CYP17A1;AURKA;HIST2H4A;CST1;IGF2BP1;E2F1;GPC3;KISS1R;E2F2;SPOCK1;IGF2BP3;CSMD1;BUB1;E2F8;CTHRC1;NQO1;POLQ;CDKN2B;CDKN2C;RRM2;ATAD5;CDKN2A;CCL20;ATAD2;SHCBP1;CENPE;RAD51;CENPH;FAP;PPP2R2C;PRC1;SCD;TACC3;TRIM31;CDKN3;MAD2L1
Chromosome Breakage	12/44	4.33678766526054e-09	2.18877673465699e-06	12	0.272727272727273	FANCI;HELLS;BLM;BRIP1;RAD51;FANCD2;UBE2T;CDCA7;DNMT3B;BRCA1;FANCE;FANCG
