Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Epoxygenase P450 Pathway (GO:0019373)	12/16	7.3046567826335e-13	2.36159553782541e-09	12	0.75	CYP2J2;CYP2A7;CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP4F2;CYP2S1;CYP4A11;CYP1A2;CYP2E1;CYP2C19
Cytokine-Mediated Signaling Pathway (GO:0019221)	44/255	4.23837117311408e-12	6.52844683393119e-09	44	0.172549019607843	CCL14;CNTFR;CSF1R;IL1RAP;LILRA2;LILRA3;LILRA5;SOCS2;GHR;SOCS3;IL1RL1;IL18RAP;CCL5;CCL4;CCL3;CCL2;CCL19;IL13RA2;CCR1;EGR1;IL33;CCL23;TSLP;CCL21;IL18;LILRB1;LIFR;IRAK3;LILRB2;F3;LILRB5;EREG;HCK;GREM2;IL6;CD4;CXCL12;AIM2;IL1B;IL2RB;HCLS1;TFF2;IL7R;IL18R1
Steroid Metabolic Process (GO:0008202)	27/106	6.05794633522845e-12	6.52844683393119e-09	27	0.254716981132075	AKR1D1;NR1I2;CYP2C19;CYP3A4;HSD11B1;CYP2B6;SULT1E1;CYP4V2;HSD17B2;RDH16;ACAA1;UGT2B10;SRD5A2;UGT2B15;CYP3A43;CYP7B1;CYP8B1;CYP39A1;CYP2C9;CYP2C8;CYP2A6;CYP1A2;CYP1A1;CYP2E1;SLC27A2;SLC27A5;UGT2B7
Arachidonate Metabolic Process (GO:0019369)	18/49	2.46946499538439e-11	1.99594508251943e-08	18	0.36734693877551	CYP2J2;CYP4F2;CYP4A22;CYP4A11;FAAH2;PLA2G4A;CYP2C19;PTGS2;PTGS1;CYP2A7;CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP2S1;CYP1A2;CYP1A1;CYP2E1
Cellular Response to Cytokine Stimulus (GO:0071345)	43/289	9.79615636096604e-10	6.33419470300064e-07	43	0.14878892733564	CSF1R;AQP4;MT1X;GATA3;IL1RAP;LILRA5;SOCS2;GHR;CRHBP;SOCS3;ZFP36;CCL5;CCL3;CCL2;IL13RA2;NKX3-1;CCR1;EGR1;GBP7;PTGIS;TSLP;CCL21;PDE2A;IL18;LIFR;IRAK3;F3;LILRB5;EREG;HCK;GREM2;SFRP1;IL6;CD4;CXCL12;AIM2;AXL;IL1B;IL2RB;HCLS1;IRF8;IL7R;TLR4
Positive Regulation of Response to External Stimulus (GO:0032103)	29/163	9.35728015102713e-09	5.04201445471179e-06	29	0.177914110429448	SERPINE1;CD1D;NLRC4;PTN;THBS1;LILRA5;THBD;CCL5;CCL3;S100A12;CCL19;SNCA;P2RY12;PDGFRA;IL33;TSLP;CCL21;PDE2A;PLA2G2A;LY86;IL18;BMP6;EREG;PLSCR1;AIM2;IL1B;AGTR1;TLR4;S100A8
Monocarboxylic Acid Metabolic Process (GO:0032787)	25/127	1.19206143510965e-08	5.50562088529926e-06	25	0.196850393700787	ADH1C;ADH1B;ADH1A;GLYAT;CYP3A4;CYP2C18;ADH6;KYNU;LDHD;ACAA1;CYP2J2;CYP4A11;IGF1;CYP26A1;CYP2C9;ALDH1A3;CYP2C8;VNN1;CYP2S1;CYP1A2;CYP1A1;ANGPTL3;ALDH8A1;SLC27A2;SLC27A5
Long-Chain Fatty Acid Metabolic Process (GO:0001676)	20/85	1.45026851255152e-08	5.86089762634882e-06	20	0.235294117647059	CYP2J2;GSTP1;CYP4F2;CYP4A22;CYP4A11;FAAH2;PLA2G4A;CYP2C19;CYP3A4;PTGS2;CYP2C9;CYP2C8;ACADL;CPT2;CYP1A2;CYP1A1;CYP2E1;ACAA1;SLC27A2;SLC27A5
Inflammatory Response (GO:0006954)	38/261	1.67901372458112e-08	6.03139041285641e-06	38	0.145593869731801	CCL14;CSF1R;CXCL6;PTGER2;FPR1;GATA3;NLRC4;THBS1;CRHBP;IL1RL1;TBXA2R;ADORA3;CCL5;CCL4;CCL3;PROK2;CCL2;CCL19;CCR1;CCL23;PTGIR;CCL21;NFAM1;IL18;CYBB;GZMB;PPBP;FOS;SELE;IL6;VNN1;AIM2;IL1B;AGTR1;SIGLEC1;FCGR2B;TLR4;S100A8
Retinoid Metabolic Process (GO:0001523)	17/64	2.5145261316153e-08	8.12946298351228e-06	17	0.265625	ADH1C;ADH1B;ADH1A;CYP3A4;CYP2C18;ADH6;ALDH1A3;CYP26A1;CYP2C8;CYP4V2;CYP2S1;RBP1;CYP1A2;RDH16;CYP1A1;LRAT;ALDH8A1
