Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Mitotic Sister Chromatid Segregation (GO:0000070)	29/120	1.67797599123308e-18	3.76537812432702e-15	29	0.241666666666667	CDCA5;NCAPG2;KIF14;CDCA8;NCAPG;KIF11;SMC4;NCAPH;AURKB;KIF15;CCNB1;NUSAP1;KNTC1;CEP55;SPAG5;PLK1;KIF23;NDC80;ZWINT;TPX2;CENPE;KIF18A;PSRC1;KIFC1;CENPI;PRC1;CENPK;BIRC5;NCAPD2
Positive Regulation of Cell Cycle Process (GO:0090068)	28/119	1.40963323666844e-17	1.58160849154199e-14	28	0.235294117647059	GPSM2;FEN1;NCAPG2;KIF14;CDCA8;NCAPG;DBF4B;SMC4;NCAPH;AURKB;AURKA;RACGAP1;NUSAP1;ECT2;E2F7;E2F8;PLK4;STIL;SPAG5;CDC7;KIF23;CDC6;NDC80;DBF4;SASS6;BIRC5;NCAPD2;MAD2L1
Spindle Assembly Checkpoint Signaling (GO:0071173)	15/27	1.58058402388694e-16	7.09366109920457e-14	15	0.555555555555556	PLK1;BUB1B;TTK;NDC80;ZWINT;CDC20;CENPF;NUF2;BIRC5;KNTC1;TRIP13;BUB1;SPC24;MAD2L1;SPC25
Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	15/27	1.58058402388694e-16	7.09366109920457e-14	15	0.555555555555556	PLK1;BUB1B;TTK;NDC80;ZWINT;CDC20;CENPF;NUF2;BIRC5;KNTC1;TRIP13;BUB1;SPC24;MAD2L1;SPC25
Mitotic Spindle Checkpoint Signaling (GO:0071174)	15/27	1.58058402388694e-16	7.09366109920457e-14	15	0.555555555555556	PLK1;BUB1B;TTK;NDC80;ZWINT;CDC20;CENPF;NUF2;BIRC5;KNTC1;TRIP13;BUB1;SPC24;MAD2L1;SPC25
Negative Regulation of Mitotic Metaphase/Anaphase Transition (GO:0045841)	15/29	6.6694570274213e-16	2.49437692825557e-13	15	0.517241379310345	PLK1;BUB1B;TTK;NDC80;ZWINT;CDC20;CENPF;NUF2;BIRC5;KNTC1;TRIP13;BUB1;SPC24;MAD2L1;SPC25
Mitotic Spindle Organization (GO:0007052)	21/90	1.9415708253163e-13	6.22412133144253e-11	21	0.233333333333333	GPSM2;STIL;PLK1;CDCA8;KIF23;TTK;KIF11;AURKB;NDC80;KIF15;AURKA;CENPE;TPX2;CCNB1;CENPH;KIFC1;PRC1;KIF4A;NUF2;BIRC5;SPC25
Positive Regulation of Mitotic Cell Cycle Phase Transition (GO:1901992)	17/64	4.04938057452763e-12	1.135851251155e-09	17	0.265625	STIL;RRM2;UBE2C;CDCA5;NSMCE2;CDC7;DBF4B;CDC25C;CDC25A;CDC20;CCNB1;CCNE2;CCNE1;SASS6;BIRC5;PLCB1;DTL
Microtubule Cytoskeleton Organization Involved in Mitosis (GO:1902850)	16/59	1.23154553143138e-11	3.07065352503558e-09	16	0.271186440677966	GPSM2;STIL;PLK1;TTK;KIF11;AURKB;NDC80;CENPE;CCNB1;CENPH;KIF4A;NUF2;NUSAP1;TACC3;BIRC5;SPC25
Sister Chromatid Segregation (GO:0000819)	13/36	1.79140706473677e-11	4.01991745326931e-09	13	0.361111111111111	TOP2A;SPAG5;NCAPG2;PLK1;SMC4;NDC80;ZWINT;KIF18A;CENPI;KIFC1;CENPK;NUSAP1;KNTC1
Mitotic Cell Cycle Phase Transition (GO:0044772)	20/113	1.58787540186954e-10	3.23926581981386e-08	20	0.176991150442478	TRIM71;UBE2C;PLK1;CDC7;CDC25C;FOXM1;CDC25A;AURKA;CCNA2;CCNB2;CCNB1;MELK;DBF4;CCNE2;CCNE1;TACC3;BIRC5;BCAT1;PLCB1;CDKN3
Metaphase Chromosome Alignment (GO:0051310)	14/55	6.01981674076874e-10	1.12570573052375e-07	14	0.254545454545455	CDCA5;GMNN;KIF14;CDCA8;NDC80;CENPE;CCNB1;CENPF;KIF18A;PSRC1;KIFC1;FAM83D;CENPQ;CEP55
DNA Metabolic Process (GO:0006259)	32/302	7.27196163515134e-10	1.25525245455997e-07	32	0.105960264900662	TOP2A;PRIM2;FEN1;ERCC6L;BLM;RNASEH2A;MCM8;PRIM1;MCM10;BRCA1;TTF2;TYMS;RAD51AP1;BRIP1;EXO1;CHEK1;RAD54L;KPNA2;WDHD1;RFC3;RFC4;CDC6;FANCG;FAM111B;NEIL3;RAD51;MSH2;UBE2T;POLE2;MCM3;MCM4;MCM6
Mitotic Nuclear Division (GO:0140014)	13/47	8.04524466831655e-10	1.28953778826445e-07	13	0.276595744680851	SPAG5;UBE2C;NCAPG2;PLK1;SMC4;NDC80;ZWINT;KIF18A;CENPI;KIFC1;CENPK;NUSAP1;KNTC1
Regulation of Cell Cycle Process (GO:0010564)	21/146	2.8941827230415e-09	4.32969735367008e-07	21	0.143835616438356	CDKN2B;CDCA2;SPAG5;PLK1;KIF11;DBF4B;MKI67;CDC25C;FBXO43;AURKB;AURKA;DBF4;RACGAP1;PRC1;CHEK1;KNTC1;NEK2;KIF20A;ECT2;BUB1;RAB11FIP4
Mitotic Cytokinesis (GO:0000281)	14/62	3.31148933057978e-09	4.64436378613815e-07	14	0.225806451612903	PLK1;CKAP2;CDCA8;KIF23;CENPA;AURKB;ANLN;RACGAP1;KIF4A;NUSAP1;BIRC5;KIF20A;ECT2;CEP55
Mitotic Metaphase Chromosome Alignment (GO:0007080)	13/56	8.42905413427838e-09	1.11263514572475e-06	13	0.232142857142857	CDCA5;KIF14;CDCA8;TTK;AURKB;NDC80;CENPE;CCNB1;KIF18A;PSRC1;KIFC1;NUF2;CEP55
Positive Regulation of Chromosome Separation (GO:1905820)	7/13	3.16945070620576e-08	3.95124854706985e-06	7	0.538461538461538	NCAPG2;CDCA8;NCAPG;BIRC5;NCAPD2;SMC4;NCAPH
Cell Cycle G2/M Phase Transition (GO:0044839)	11/43	4.02123304949689e-08	4.68363752476717e-06	11	0.255813953488372	CCNA2;CCNB1;MELK;PLK1;BIRC5;FOXM1;CDC25C;PLCB1;AURKB;CDC25A;AURKA
DNA Repair (GO:0006281)	29/302	4.17436499533616e-08	4.68363752476717e-06	29	0.0960264900662252	FEN1;ERCC6L;BLM;RNASEH2A;CDCA5;BRCA1;TTF2;RAD51AP1;BRIP1;EME1;EXO1;CHEK1;RAD54L;FANCI;WDHD1;RFC3;RFC4;PLK1;HMGA1;FANCE;FANCG;TRAIP;NEIL3;RAD51;MSH2;FANCD2;UBE2T;POLE2;TRIP13
Regulation of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079)	11/46	8.5925318597372e-08	9.1817340444049e-06	11	0.239130434782609	BLM;CDKN2B;CDKN2C;PSRC1;CCNE2;CDKN2A;CDC6;CDC25C;CDC25A;CDK5R1;CDKN3
Mitotic Spindle Assembly (GO:0090307)	11/47	1.0915757483457e-07	1.11340726331262e-05	11	0.234042553191489	TPX2;RACGAP1;KIFC1;PRC1;KIF4A;CDCA8;BIRC5;KIF23;KIF11;AURKB;KIF15
Double-Strand Break Repair via Break-Induced Replication (GO:0000727)	6/10	1.37438706770759e-07	1.23364983197433e-05	6	0.6	GINS2;GINS4;MCM3;MCM4;CDC7;MCM6
Mitotic Spindle Elongation (GO:0000022)	6/10	1.37438706770759e-07	1.23364983197433e-05	6	0.6	RACGAP1;PRC1;KIF4A;BIRC5;CDCA8;KIF23
Mitotic Spindle Midzone Assembly (GO:0051256)	6/10	1.37438706770759e-07	1.23364983197433e-05	6	0.6	RACGAP1;PRC1;KIF4A;BIRC5;CDCA8;KIF23
Mitotic Chromosome Condensation (GO:0007076)	7/16	1.95263889722636e-07	1.63355459607076e-05	7	0.4375	CDCA5;PLK1;NUSAP1;NCAPG;NCAPD2;SMC4;NCAPH
