Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Oxidoreductase, Paired Donors, W Incorp or Reduc of O2, Reduced Flavin or Flavoprotein as One Donor, and Incorp of O (GO:0016712)	19/36	1.9562740870475e-15	1.23440894892697e-12	19	0.527777777777778	CYP2J2;CYP4F2;CYP4A22;CYP3A43;CYP4A11;CYP2C19;CYP3A4;CYP2C18;CYP8B1;CYP2A7;CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP2S1;CYP1A2;CYP1A1;HMOX1;CYP2E1
Arachidonate Monooxygenase Activity (GO:0008391)	11/14	2.91497722108304e-12	9.19675313251698e-10	11	0.785714285714286	CYP2J2;CYP2A7;CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP4F2;CYP2S1;CYP4A11;CYP4A22;CYP2E1
Arachidonate Epoxygenase Activity (GO:0008392)	10/13	4.34490547741359e-11	9.13878452082658e-09	10	0.769230769230769	CYP2J2;CYP2A7;CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP4F2;CYP2S1;CYP4A11;CYP2E1
Steroid Hydroxylase Activity (GO:0008395)	9/23	1.38039728451731e-06	0.000194242333257467	9	0.391304347826087	CYP2C9;CYP2C8;CYP2B6;CYP3A43;CYP1A2;CYP1A1;CYP2C19;CYP3A4;CYP8B1
MHC Class I Receptor Activity (GO:0032393)	7/13	1.53916270410037e-06	0.000194242333257467	7	0.538461538461538	KLRF1;LILRB1;LILRB2;LILRA2;LILRA3;LILRB5;LILRA5
Cytokine Activity (GO:0005125)	26/186	6.37756405579577e-06	0.000670707153201189	26	0.139784946236559	CCL14;CXCL6;IL24;TNFRSF11B;WNT11;CCL5;CCL4;CCL3;CCL2;CCL19;WNT2;IL33;CCL23;TSLP;CCL21;TGFB3;GDF2;IL18;NRG1;PPBP;GDF6;BMP6;BMP5;IL6;CXCL12;IL1B
Inhibitory MHC Class I Receptor Activity (GO:0032396)	6/11	8.24204307566654e-06	0.00068084885563631	6	0.545454545454545	LILRB1;LILRB2;LILRA2;LILRA3;LILRB5;LILRA5
Chemokine Activity (GO:0008009)	11/42	8.6319981697155e-06	0.00068084885563631	11	0.261904761904762	CCL14;CXCL6;CCL23;CXCL12;CCL21;CCL5;CCL4;CCL3;CCL2;CCL19;PPBP
Cation Binding (GO:0043169)	17/95	9.82129570355769e-06	0.000688581954327211	17	0.178947368421053	CETP;CHRNA4;IGFBP3;MT1M;MT1X;APOA4;APOA5;F9;MT1A;MT1F;MT1G;MT1H;MT1B;FBP1;HMGCLL1;PLTP;RAG1
Solute:Sodium Symporter Activity (GO:0015370)	11/43	1.1044686443379e-05	0.000696919714577215	11	0.255813953488372	SLC4A10;SLC6A13;SLC5A1;SLC17A8;SLC13A5;SLC17A1;SLC4A4;SLC17A2;SLC28A1;SLC17A3;SLC28A3
