Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Microtubule Binding (GO:0008017)	23/243	1.34707480912847e-06	0.000370721310619583	23	0.0946502057613169	GAS2L3;SPAG5;PLK1;KIF14;VASH2;KIF23;NDC80;KIF15;CENPE;KIF18A;PSRC1;RACGAP1;KIFC1;PRC1;NUF2;NUSAP1;BIRC5;KIF20A;MAPT;FAM83D;GTSE1;DYNC1I1;SPC24
Single-Stranded DNA Helicase Activity (GO:0017116)	7/21	1.74047563671166e-06	0.000370721310619583	7	0.333333333333333	RFC3;RFC4;RAD51;MCM8;MCM3;MCM4;MCM6
Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity (GO:0016538)	9/44	5.28174901865648e-06	0.00073121529665219	9	0.204545454545455	CCNA2;CCNB2;CCNB1;CDKN2B;CDKN2C;CCNE2;CDKN2A;CCNE1;CDK5R1
Tubulin Binding (GO:0015631)	26/326	6.86587133006751e-06	0.00073121529665219	26	0.0797546012269939	KIF14;BRCA1;KIF15;RACGAP1;NUF2;NUSAP1;FAM83D;GTSE1;DYNC1I1;GAS2L3;SPAG5;PLK1;VASH2;KIF23;NDC80;CENPE;KIF18A;PSRC1;KIFC1;PRC1;AGBL3;BIRC5;KIF20A;MAPT;SPC24;CDK5R1
Double-Stranded DNA Binding (GO:0003690)	40/651	1.7196223413321e-05	0.00146511823481495	40	0.0614439324116743	MESP2;DLX2;FEN1;RNASEH2A;ONECUT2;HOXD1;DLX6;SHOX2;HOXD10;HOXA13;RAD51AP1;HOXA10;SIX4;SIX2;E2F1;E2F2;MYBL2;OTX1;E2F7;E2F8;HES6;OSR2;FOXD2;IRX3;ZIC4;ZIC5;ETV4;SREBF2;ISX;NEIL3;LIN28B;RAD51;NR6A1;MYCN;MSH2;ZFP41;SP8;MAPT;HOXD9;HOXD8
Lipoprotein Particle Binding (GO:0071813)	6/23	4.72770830744648e-05	0.003356672898287	6	0.260869565217391	COLEC12;LPL;PCSK9;CDH13;TREM2;MAPT
Sequence-Specific DNA Binding (GO:0043565)	41/718	7.12187408925974e-05	0.00433416908860664	41	0.0571030640668524	MESP2;DLX2;RNASEH2A;ONECUT2;HOXD1;DLX6;SHOX2;HOXD10;HOXA13;SMG5;HOXA10;SIX4;SIX2;MAEL;ZKSCAN3;E2F1;E2F2;MYBL2;OTX1;ZNF300;E2F7;E2F8;HES6;OSR2;FOXD2;IRX3;SOX13;ZIC4;ZIC5;ETV4;SREBF2;ISX;MMP12;LIN28B;NR6A1;MYCN;ZFP41;SP8;MAPT;HOXD9;HOXD8
Single-Stranded DNA Binding (GO:0003697)	11/97	0.000160160495379694	0.00852854637896869	11	0.11340206185567	RAD51AP1;NEIL3;BLM;RAD51;MSH2;MCM8;MCM3;MCM4;MCM10;MAPT;MCM6
Sequence-Specific Double-Stranded DNA Binding (GO:1990837)	39/706	0.000210682889058703	0.00997232341544529	39	0.0552407932011331	MESP2;DLX2;RNASEH2A;ONECUT2;HOXD1;DLX6;SUV39H1;SHOX2;MCM10;BRCA1;HOXD10;HOXA13;HOXA10;SIX4;SIX2;E2F1;E2F2;MYBL2;OTX1;E2F7;E2F8;HES6;OSR2;FOXD2;IRX3;SOX13;ZIC4;CDC6;ZIC5;ETV4;SREBF2;ISX;LIN28B;NR6A1;MYCN;ZFP41;SP8;HOXD9;HOXD8
Kinase Binding (GO:0019900)	29/472	0.000245082962670869	0.010440534209779	29	0.0614406779661017	KIF14;KIF11;DBF4B;FOXM1;ADCY6;AURKB;AURKA;FAM83H;CCNB1;RACGAP1;FAM83D;CDKN2B;CDKN2C;CDKN2A;CEP152;PLK1;CDC25C;MAPK8IP2;CDC25A;CNKSR2;CCNA2;TPX2;MYCN;PRC1;FASN;CSPG4;KIF20A;MAPT;CDK5R1
DNA Secondary Structure Binding (GO:0000217)	6/33	0.000401635518811561	0.015554248273975	6	0.181818181818182	RAD51AP1;BLM;NEIL3;MSH2;HMGA1;MAPT
Low-Density Lipoprotein Particle Binding (GO:0030169)	4/16	0.00110820748597211	0.0393413657520097	4	0.25	COLEC12;PCSK9;CDH13;TREM2
Oxalate Transmembrane Transporter Activity (GO:0019531)	3/8	0.00135701680991493	0.0428111185679751	3	0.375	SLC26A7;SLC26A3;SLC26A6
Protein Kinase Binding (GO:0019901)	29/527	0.00140693816890059	0.0428111185679751	29	0.0550284629981025	TOP2A;KIF14;TREM2;KIF11;DBF4B;FOXM1;ADCY6;AURKA;FAM83H;CCNB1;RACGAP1;FAM83D;CDKN2B;CDKN2C;CDKN2A;CEP152;PLK1;CDC6;CDC25C;MAPK8IP2;CDC25A;CNKSR2;CCNA2;TPX2;PRC1;CSPG4;KIF20A;MAPT;CDK5R1
