Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
RETINOL METABOLISM	22/66	1.48561731481338e-12	4.75397540740282e-10	22	0.333333333333333	UGT2B10;ADH1C;ADH1B;ADH1A;UGT2B15;CYP3A4;CYP2C18;ADH6;CYP2A7;ALDH1A3;CYP26A1;CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP2S1;CYP1A2;RDH16;CYP1A1;AOX1;LRAT;UGT2B7
VIRAL PROTEIN INTERACTION WITH CYTOKINE AND CYTOKINE RECEPTOR	24/99	2.74188174854764e-10	4.38701079767623e-08	24	0.242424242424242	CCR1;CCL14;CSF1R;CXCL6;CCL23;CCL21;CCL4L2;IL24;IL18;CXCL1;PPBP;CXCL14;CXCL2;TNFRSF10D;IL6;IL18RAP;CXCL12;CCL5;CCL4;IL2RB;CCL3;CCL2;CCL19;IL18R1
CYTOKINE-CYTOKINE RECEPTOR INTERACTION	44/296	6.45035019437352e-10	6.88037354066509e-08	44	0.148648648648649	CCL14;CNTFR;CSF1R;CXCL6;CCL4L2;IL24;TNFRSF11B;CXCL1;CXCR6;IL1RAP;CXCL14;CXCL2;GHR;IL1RL1;IL18RAP;CCL5;CCL4;CCL3;TNFRSF17;CCL2;CCL19;IL13RA2;CCR1;NGFR;IL33;CCL23;TSLP;CCL21;TGFB3;GDF2;IL18;LIFR;PPBP;GDF6;BMP6;BMP5;TNFRSF10D;IL6;CD4;CXCL12;IL1B;IL2RB;IL7R;IL18R1
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	20/76	1.77879826024504e-09	1.25835977802761e-07	20	0.263157894736842	UGT2B10;ADH1C;ADH1B;GSTP1;ADH1A;UGT2B15;CYP3A4;ADH6;HSD11B1;CYP2A7;CYP2C9;CYP2A6;AKR7A3;CYP2B6;CYP2S1;GSTA2;CYP1A2;CYP1A1;CYP2E1;UGT2B7
DRUG METABOLISM - CYTOCHROME P450	19/69	1.96618715316814e-09	1.25835977802761e-07	19	0.27536231884058	UGT2B10;ADH1C;ADH1B;GSTP1;ADH1A;UGT2B15;CYP2C19;CYP3A4;ADH6;CYP2A7;CYP2C9;CYP2A6;CYP2C8;CYP2B6;GSTA2;CYP1A2;AOX1;CYP2E1;UGT2B7
CHEMICAL CARCINOGENESIS - DNA ADDUCTS	18/69	1.33687108851284e-08	7.12997913873513e-07	18	0.260869565217391	UGT2B10;GSTP1;CYP3A43;UGT2B15;CYP2C19;PTGS2;CYP3A4;CYP2C18;HSD11B1;CYP2A7;CYP2C9;CYP2A6;CYP2C8;GSTA2;CYP1A2;CYP1A1;CYP2E1;UGT2B7
TRYPTOPHAN METABOLISM	14/42	1.76166532823411e-08	7.76880049155834e-07	14	0.333333333333333	GCDH;AADAT;HAAO;GLYAT;KMO;INMT;ACMSD;TDO2;KYNU;LDHD;CYP1A2;CYP1A1;AOX1;ALDH8A1
ARACHIDONIC ACID METABOLISM	17/63	1.94220012288958e-08	7.76880049155834e-07	17	0.26984126984127	CYP2J2;PTGIS;HPGD;EPHX2;CYP4F2;PLA2G2A;PLA2G4A;PLA2G5;CYP2C19;PTGS2;PTGS1;CYP2C9;CYP2C8;CYP2B6;TBXAS1;CYP2E1;PTGDS
BILE SECRETION	19/88	1.44594197598228e-07	5.14112702571479e-06	19	0.215909090909091	UGT2B10;SLC10A1;ABCB4;AQP9;UGT2B15;SLC22A1;SCTR;AQP4;SLC5A1;CYP3A4;SLC4A4;CA2;SLCO1B3;KCNN2;SLC22A7;CFTR;UGT2B7;SLC27A5;ABCG2
MALARIA	14/50	2.09533960920019e-07	6.7050867494406e-06	14	0.28	CR1;KLRB1;TGFB3;IL18;HBB;HBA1;THBS1;SELE;IL6;KLRK1;CR1L;IL1B;CCL2;TLR4
COMPLEMENT AND COAGULATION CASCADES	18/87	6.0105642539265e-07	1.74852778296044e-05	18	0.206896551724138	C1QB;C1QA;CR1;SERPINE1;C8A;F3;THBD;F8;F9;CR1L;CFHR4;MASP2;VSIG4;MASP1;KLKB1;F2RL2;MBL2;C1QC
CELL ADHESION MOLECULE (CAM) INTERACTION	25/155	6.74723763430836e-07	1.7992633691489e-05	25	0.161290322580645	CD274;CD80;SDC3;LRRC4;VTCN1;CLDN2;SLITRK2;SLITRK3;SLITRK6;ITGB8;NCAM1;LRRC4C;NLGN4X;PDCD1LG2;SELE;CLDN11;CLDN10;CD4;PTPRC;CD8B;SELL;CD8A;CD226;SIGLEC1;ITGA9
LINOLEIC ACID METABOLISM	10/30	1.98642509383191e-06	4.8896617694324e-05	10	0.333333333333333	CYP2J2;CYP2C9;CYP2C8;PLA2G2A;CYP1A2;PLA2G4A;PLA2G5;CYP2E1;CYP2C19;CYP3A4
TYROSINE METABOLISM	10/36	1.25473100525369e-05	0.0002867956583437	10	0.277777777777778	GSTZ1;ADH1C;HGD;ADH1B;ADH1A;AOX1;PEMT;DBH;HPD;ADH6
STEROID HORMONE BIOSYNTHESIS	13/63	2.24062677697182e-05	0.000478000379087321	13	0.206349206349206	UGT2B10;SRD5A2;UGT2B15;AKR1D1;CYP7B1;CYP3A4;HSD11B1;SULT1E1;HSD17B2;CYP1A2;CYP1A1;CYP2E1;UGT2B7
MINERAL ABSORPTION	12/58	4.47961917300323e-05	0.000895923834600646	12	0.206896551724138	MT1A;TRPV6;MT1M;MT1F;MT1G;HMOX1;CYBRD1;MT1X;MT1H;SLC5A1;MT1B;SLC8A1
ONE CARBON POOL BY FOLATE	9/36	8.49767217009355e-05	0.00158752996280007	9	0.25	DMGDH;ALDH1L1;BHMT;VSIG2;SHMT1;LDHD;SARDH;FTCD;GNMT
OSTEOCLAST DIFFERENTIATION	19/134	8.92985604075042e-05	0.00158752996280007	19	0.141791044776119	CSF1R;FHL2;TNFRSF11B;LILRB1;FOS;LILRB2;LILRA2;LILRA3;LILRB5;LILRA5;FOSL1;SOCS3;FCGR3B;IL1B;CAMK4;FOSB;LCP2;FYN;FCGR2B
RHEUMATOID ARTHRITIS	15/92	9.85673553977399e-05	0.00166008177511983	15	0.16304347826087	CXCL6;TGFB3;CD80;IL18;CXCL1;FOS;CXCL2;IL6;CXCL12;IL1B;CCL5;CCL3;CCL2;TEK;TLR4
CAFFEINE METABOLISM	4/6	0.000109999817940384	0.00175999708704615	4	0.666666666666667	CYP2A7;CYP2A6;CYP1A2;XDH
GLYCINE, SERINE AND THREONINE METABOLISM	9/38	0.000133670430893513	0.00203688275647258	9	0.236842105263158	DMGDH;BHMT;VSIG2;AGXT2;SHMT1;LDHD;SARDH;PHGDH;GNMT
PRIMARY BILE ACID BIOSYNTHESIS	6/17	0.000167426899836053	0.00239487349601531	6	0.352941176470588	CYP39A1;CH25H;AKR1D1;CYP7B1;CYP8B1;SLC27A5
PPAR SIGNALING PATHWAY	13/76	0.0001721315325261	0.00239487349601531	13	0.171052631578947	GK;SCD5;AQP7;APOA5;CYP8B1;CPT2;ACADL;ANGPTL4;ACAA1;PCK1;SLC27A2;PLTP;SLC27A5
HEMATOPOIETIC CELL LINEAGE	15/97	0.000181630223771386	0.00242173631695181	15	0.154639175257732	CSF1R;CR1;CD1D;CD1C;CD3E;IL6;CD4;CD8B;CD8A;CR1L;IL1B;CD38;IL7R;MS4A1;CD33
FATTY ACID DEGRADATION	9/42	0.000301862620172146	0.00386384153820346	9	0.214285714285714	GCDH;ADH1C;CPT2;ACADL;ADH1B;ADH1A;ACAA1;ACADS;ADH6
TGF-BETA SIGNALING PATHWAY	15/109	0.000657851560449927	0.00791414793603378	15	0.137614678899083	TGFB3;SMAD9;GDF6;THBS1;BMP6;DCN;BMP5;GREM2;NCOR1;MYC;ID1;ID4;ID3;FMOD;HAMP
LEGIONELLOSIS	10/56	0.00066775623210285	0.00791414793603378	10	0.178571428571429	COLEC11;IL6;CR1;CR1L;IL1B;IL18;CXCL1;NLRC4;CXCL2;TLR4
PRIMARY IMMUNODEFICIENCY	8/38	0.00073733051584828	0.00842663446683749	8	0.210526315789474	CD79A;CD4;PTPRC;CD8B;CD8A;CD3E;IL7R;RAG1
AMOEBIASIS	14/100	0.000826985743130076	0.00912535992419394	14	0.14	LAMA2;TGFB3;LAMC3;CXCL1;SERPINB9;CD1D;CD1C;CXCL2;C8A;GNA14;IL6;COL4A4;IL1B;TLR4
CHAGAS DISEASE	14/103	0.00111120765742764	0.0116085918926025	14	0.135922330097087	C1QB;C1QA;TGFB3;SERPINE1;FOS;CD3E;GNA14;IL6;IL1B;CCL5;CCL3;CCL2;TLR4;C1QC
DRUG METABOLISM - OTHER ENZYMES	12/81	0.00115346841899781	0.0116085918926025	12	0.148148148148148	UGT2B10;CDA;CYP2A7;CYP2A6;GSTP1;GSTA2;UGT2B15;CYP2E1;CYP3A4;UPB1;XDH;UGT2B7
TRANSCRIPTIONAL MISREGULATION IN CANCER	21/189	0.00116085918926025	0.0116085918926025	21	0.111111111111111	CSF1R;NGFR;GADD45B;HPGD;BCL2A1;IGFBP3;DEFA3;TMPRSS2;GZMB;IGF1;LDB2;PBX1;GADD45G;IL6;NR4A3;NCOR1;MYC;TSPAN7;IL2RB;PROM1;GRIA3
STAPHYLOCOCCUS AUREUS INFECTION	13/95	0.00154891888372529	0.0150198194785483	13	0.136842105263158	C1QB;C1QA;FPR1;DEFA3;DEFB1;KRT19;FCGR3B;DSG1;MASP2;MASP1;FCGR2B;MBL2;C1QC
