Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
CELL CYCLE	34/157	7.69207232615694e-20	2.06147538341006e-17	34	0.21656050955414	CDCA5;BUB1B;TTK;DBF4B;AURKB;CDC20;MTBP;CCNB2;CCNB1;PTTG1;CHEK1;E2F1;E2F2;BUB1;CDKN2B;CDKN2C;CDKN2A;PLK1;CDC7;ESCO2;CDC6;CDC25C;CDC25A;NDC80;SMC1B;CCNA2;DBF4;CCNE2;CCNE1;MCM3;MCM4;MCM6;TRIP13;MAD2L1
DNA REPLICATION	10/35	5.27409614786827e-08	7.06728883814349e-06	10	0.285714285714286	PRIM2;FEN1;RFC3;RNASEH2A;RFC4;PRIM1;POLE2;MCM3;MCM4;MCM6
MICRORNAS IN CANCER	18/160	1.64542510342823e-06	0.000146991309239589	18	0.1125	TRIM71;NOTCH3;CDKN2A;CDCA5;KIF23;BRCA1;CDC25C;EFNA4;MMP9;HOXD10;CDC25A;CCNE2;CCNE1;DNMT3B;E2F1;IGF2BP1;E2F2;EZH2
FANCONI ANEMIA PATHWAY	10/53	3.43934057743387e-06	0.00023043581868807	10	0.188679245283019	FANCI;BLM;BRIP1;RAD51;EME1;FANCD2;UBE2T;BRCA1;FANCE;FANCG
OOCYTE MEIOSIS	14/136	6.27775625813099e-05	0.00336487735435821	14	0.102941176470588	PLK1;CDC25C;FBXO43;ADCY6;SMC1B;AURKA;CDC20;CCNB2;CCNB1;PTTG1;CCNE2;CCNE1;BUB1;MAD2L1
CELLULAR SENESCENCE	14/156	0.000271345564925803	0.0121201019000192	14	0.0897435897435897	CDKN2B;CDKN2A;LIN9;FOXM1;CDC25A;CCNA2;CCNB2;CCNB1;CCNE2;CCNE1;CHEK1;E2F1;E2F2;MYBL2
P53 SIGNALING PATHWAY	9/75	0.000409013622264528	0.0156593786809848	9	0.12	CCNB2;CCNB1;RRM2;CCNE2;CCNE1;CDKN2A;FASN;CHEK1;GTSE1
HUMAN T-CELL LEUKEMIA VIRUS 1 INFECTION	16/219	0.00101599575656526	0.0340358578449363	16	0.0730593607305936	FDPS;CDKN2B;CDKN2C;CDKN2A;BUB1B;ADCY6;CDC20;CCNA2;CCNB2;PTTG1;CCNE2;CCNE1;CHEK1;E2F1;E2F2;MAD2L1
HOMOLOGOUS RECOMBINATION	6/41	0.00133020712830665	0.0396106122651313	6	0.146341463414634	BLM;BRIP1;RAD51;EME1;RAD54L;BRCA1
PROGESTERONE-MEDIATED OOCYTE MATURATION	10/108	0.00155913001996763	0.0417846845351324	10	0.0925925925925926	CCNA2;CCNB2;CCNB1;PLK1;CDC25C;BUB1;CDC25A;ADCY6;AURKA;MAD2L1
