Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Biological Oxidations	48/222	4.88885297341986e-17	5.93995636270513e-14	48	0.216216216216216	NNMT;ADH1C;ADH1B;ADH1A;GSTP1;CYP4A22;GLYAT;CYP2C19;CYP3A4;CYP2C18;ADH6;PTGS1;ADH4;CYP2B6;AKR7A3;SULT1E1;CYP4V2;UGT3A1;UGT2B10;CYP2J2;GLYATL1;GGT6;PTGIS;CYP4F2;UGT2B15;CYP3A43;CYP4A11;FMO2;CYP7B1;CYP8B1;CYP39A1;GSTZ1;CYP26A1;CYP2C9;SULT1B1;CYP2A7;CYP2C8;CYP2A6;NAT1;NAT2;CYP2S1;GSTA2;CYP1A2;TBXAS1;CYP1A1;DPEP2;CYP2E1;UGT2B7
Phase I - Functionalization of Compounds	31/105	1.90653431369119e-15	1.1582195955674e-12	31	0.295238095238095	ADH1C;ADH1B;ADH1A;CYP4A22;CYP2C19;CYP3A4;CYP2C18;ADH6;PTGS1;ADH4;CYP2B6;CYP4V2;CYP2J2;PTGIS;CYP4F2;CYP3A43;CYP4A11;FMO2;CYP7B1;CYP8B1;CYP39A1;CYP26A1;CYP2C9;CYP2A7;CYP2C8;CYP2A6;CYP2S1;CYP1A2;TBXAS1;CYP1A1;CYP2E1
Cytochrome P450 - Arranged by Substrate Type	24/65	1.02368443315632e-14	4.14592195428312e-12	24	0.369230769230769	CYP2J2;PTGIS;CYP4F2;CYP4A22;CYP3A43;CYP4A11;CYP7B1;CYP2C19;CYP3A4;CYP2C18;CYP8B1;CYP39A1;CYP2A7;CYP26A1;CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP4V2;CYP2S1;CYP1A2;TBXAS1;CYP1A1;CYP2E1
Metabolism	192/2181	6.81685477117785e-13	2.07061963674527e-10	192	0.0880330123796424	DMGDH;CDA;ALDH1L1;ACSM3;GDA;GBA3;ENO3;NUDT10;AKR7A3;TDO2;IYD;NDST3;LRAT;MLYCD;ACAA1;PTGDS;CA13;UGT2B10;SDS;STARD5;HGD;UGT2B15;ACOT12;SLC6A12;KMO;UPB1;CYP39A1;CH25H;FOLH1;RBP1;GPD1;DPEP2;CYP2E1;HPD;SLC27A2;SLC27A5;PLA1A;ABCG2;PFKFB1;GCDH;HS3ST3A1;NNMT;SHMT1;ABCB4;SDC3;PLA2G5;GLYAT;CYP2C19;CYP2C18;ADH6;ACMSD;HSD11B1;ADH4;CYP2B6;PRKAR2B;DSEL;SLCO1B3;SLC19A3;HMOX1;ARSF;UGT3A1;PCK1;PRODH;HAO2;HMGCLL1;CYP2J2;GCKR;GLYATL1;GGT6;SRD5A2;AGXT2;SLC10A1;CYP4F2;EPHX2;SULT1B1;CYP2C9;CYP26A1;CYP2C8;BHMT;ALDH6A1;HAL;VNN1;NAT1;NAT2;TCN1;CYP2S1;TBXAS1;UST;CYP1A2;NOSTRIN;CYP1A1;PEMT;MOGAT2;TAT;CYP4A22;FHL2;STAB2;GPT;PIK3C2G;SLC2A3;DBH;CSAD;FTCD;GYS2;HK3;ACADL;CA3;CPT2;CA2;CYP4V2;KYNU;DSE;CD38;AOX1;PHGDH;ACADS;AASS;HS3ST3B1;CHST9;CHST7;PTGIS;CYP4A11;BCKDHB;CYP3A43;BGN;FAAH2;PLA2G4A;AMPD1;APOA4;CYP7B1;APOA5;PRODH2;INMT;DCN;CYP2A7;CYP2A6;BDH2;NCOR1;ANGPTL4;FBP1;ASPA;UGT2B7;OAT;ADH1C;HPGD;GLS2;ADH1B;GSTP1;HAAO;HDC;ADH1A;AKR1D1;ETFDH;HSD17B13;PRELP;SGMS2;PTGS2;CYP3A4;PTGS1;GNA14;SULT1E1;HSD17B2;GPC4;XDH;CBR4;BCHE;GK;MMAA;GCH1;AADAT;TPK1;LUM;GCGR;PLA2G2A;SCD5;B3GAT1;BBOX1;MBOAT2;FMO2;PTPN13;CYP8B1;LYVE1;DHODH;GNMT;GSTZ1;UROC1;CTH;GSTA2;SARDH;THRSP;FMOD;OTC
Xenobiotics	14/24	1.61134412692314e-12	3.91556622842322e-10	14	0.583333333333333	CYP2J2;CYP3A43;CYP2C19;CYP3A4;CYP2C18;CYP2A7;CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP2S1;CYP1A2;CYP1A1;CYP2E1
Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell	41/223	2.78109559243164e-12	5.63171857467408e-10	41	0.183856502242152	SIGLEC9;KLRB1;CD1D;CD1C;CD3E;LILRA2;LILRA3;LILRA5;IGLV3-25;FCGR3A;KLRK1;IGKC;IGLV6-57;SLAMF7;SLAMF6;KLRC1;CD33;CD300A;SIGLEC11;SH2D1A;SIGLEC10;SFTPD;IGKV1-5;CRTAM;LILRB1;LILRB2;LILRB5;CLEC2B;CD8B;SELL;CD8A;KLRF1;CD226;KLRD1;SIGLEC1;FCGR2B;SIGLEC7;IGLV3-19;CLEC4G;IGKV3-20;SIGLEC5
Arachidonate Metabolism	20/59	1.08303639192221e-11	1.87001137719866e-09	20	0.338983050847458	CYP2J2;PTGIS;HPGD;CYP4F2;EPHX2;CYP4A22;CYP4A11;FAAH2;PLA2G4A;CYP2C19;PTGS2;CYP8B1;PTGS1;CYP2C9;CYP2C8;CYP1A2;TBXAS1;DPEP2;CYP1A1;PTGDS
Drug ADME	27/109	1.23128321132422e-11	1.87001137719866e-09	27	0.247706422018349	ADH1A;GSTP1;SLC22A1;GLYAT;CYP2C19;CYP3A4;HSD11B1;SULT1E1;SLCO1B3;UGT3A1;PCK1;XDH;UGT2B10;BCHE;GGT6;GLYATL1;UGT2B15;CYP2C9;CYP2C8;NAT1;NAT2;GSTA2;CYP2E1;SLC22A7;UGT2B7;ABCG2;SLC28A3
Immune System	181/2150	1.57796214023689e-10	2.1302488893198e-08	181	0.0841860465116279	CYFIP2;CDA;CNTFR;FCN2;FCN3;CD80;CLEC10A;DEFB1;IL1RAP;SLA2;IGHG3;IGHG4;IGHG1;IGHG2;IL18RAP;MYC;COTL1;ACAA1;IL13RA2;TRIM22;SH3GL2;RAG1;LAG3;GBP7;CD300A;HGF;CYBB;LIFR;SIGIRR;RNF125;CD8B;CRISPLD2;CD8A;KLRF1;CD226;MASP2;MASP1;SLC27A2;S100A8;CLEC4G;CD274;CSF1R;KLRB1;FPR1;TNFRSF11B;GATA3;CD1D;A1BG;CD1C;CFP;SOCS2;PLAC8;SOCS3;CD79A;KLRK1;C6;C7;IGLV6-57;C9;TNFRSF17;SLAMF7;S100A12;HMOX1;SLAMF6;CD14;KLRC1;CCR1;EGR1;TSLP;SIGLEC11;CRTAM;SH2D1A;SIGLEC10;LY86;DEFA3;PPBP;PTPRB;IL6;PTPRC;VNN1;IL8;SELL;TCN1;CD207;KLRD1;IL7R;IGKV3-20;ARHGAP9;IGHM;ITK;SIGLEC9;EIF4E3;TAT;IL24;HBB;PTPN22;SLC2A3;CXCL1;CD3E;C8A;CXCL2;GHR;HK3;FCGR3A;FCGR3B;FCER1A;CD33;PRKG1;MBL2;CR1;MME;MMP2;NFAM1;SFTPD;IL18;IRAK3;FOS;PDCD1LG2;HCK;AIM2;IRF4;CEACAM6;IL1B;DSG1;IRF8;LCP2;TLR4;IGLV3-19;CRP;C1QB;CAMK2B;C1QA;COLEC11;COLEC10;CLEC12A;GSTP1;PELI2;FGL2;ITLN1;NLRC4;PTGS2;LILRA2;LILRA3;CPN1;LILRA5;IL1RL1;IGLV3-25;IGKC;CCL5;CCL4;CCL3;CCL2;FYN;NCAM1;CCL19;XDH;WASF3;SNCA;IL33;TRAT1;IGKV1-5;PLA2G2A;LILRB1;LILRB2;PTPN13;LILRB5;CD4;CLEC2B;CFHR4;GSTA2;IL2RB;SLCO4C1;HLA-DPB1;SAA1;SIGLEC1;FCGR2B;SIGLEC7;IL18R1;SPSB4;SIGLEC5;C1QC
Complement Cascade	29/139	1.92862364904535e-10	2.3432777335901e-08	29	0.20863309352518	C1QB;CRP;FCN2;C1QA;COLEC11;FCN3;COLEC10;CFP;C8A;CPN1;IGHG3;IGHG4;IGLV3-25;IGHG1;IGHG2;C6;C7;IGLV6-57;IGKC;C9;MBL2;CR1;IGKV1-5;CFHR4;MASP2;MASP1;IGKV3-20;IGLV3-19;C1QC
