Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Cell Cycle	97/649	2.03998706004218e-40	1.8135484963775e-37	97	0.149460708782743	ERCC6L;GMNN;BUB1B;SMC4;CDC20;PTTG1;CHEK1;NEK2;OIP5;KNTC1;GTSE1;ESCO2;CDC25C;CDC25A;CCNE2;CCNE1;KIF20A;BLM;CDCA5;CDCA8;NCAPG;HMMR;NCAPH;CCNB2;BRIP1;DSN1;CCNB1;FIGNL1;CEP72;SFN;PLK4;UBE2C;PLK1;CDC7;CDC6;NDC80;ZWINT;TPX2;KIF18A;TOP2A;FEN1;MCM8;NCAPG2;MCM10;BRCA1;FOXM1;LMNB1;EXO1;NUF2;MYBL2;TK1;RFC3;RFC4;KIF23;SMC1B;CCNA2;DBF4;MCM3;BIRC5;MCM4;MCM6;ITGB3BP;MCM2;PRIM2;PRIM1;LIN9;TYMS;CENPA;AURKB;AURKA;E2F1;E2F2;BUB1;DYNC1I1;GINS2;CDKN2B;CDKN2C;RRM2;CDKN2A;CEP152;GINS4;FBXL18;MND1;CENPE;CENPF;RAD51;CENPH;CENPI;POLE2;CENPK;CENPM;NCAPD2;CENPN;CENPQ;SPC24;SPC25;MAD2L1
Cell Cycle, Mitotic	86/516	1.62386772268622e-39	7.21809202734024e-37	86	0.166666666666667	TOP2A;FEN1;ERCC6L;MCM8;NCAPG2;GMNN;BUB1B;MCM10;FOXM1;SMC4;LMNB1;CDC20;PTTG1;NUF2;NEK2;KNTC1;MYBL2;TK1;GTSE1;RFC3;RFC4;KIF23;ESCO2;CDC25C;CDC25A;CCNA2;DBF4;CCNE2;CCNE1;MCM3;BIRC5;MCM4;MCM6;KIF20A;ITGB3BP;MCM2;PRIM2;CDCA5;PRIM1;CDCA8;NCAPG;HMMR;LIN9;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;DSN1;CCNB1;E2F1;CEP72;E2F2;BUB1;DYNC1I1;PLK4;GINS2;CDKN2B;CDKN2C;RRM2;CDKN2A;UBE2C;CEP152;PLK1;GINS4;FBXL18;CDC7;CDC6;NDC80;ZWINT;CENPE;TPX2;CENPF;KIF18A;CENPH;CENPI;POLE2;CENPK;CENPM;CENPN;NCAPD2;CENPQ;SPC24;MAD2L1;SPC25
Cell Cycle Checkpoints	55/261	8.75515264528162e-31	2.59444356721845e-28	55	0.210727969348659	ERCC6L;MCM8;BUB1B;MCM10;BRCA1;CDC20;EXO1;CHEK1;NUF2;KNTC1;GTSE1;RFC3;RFC4;CDC25C;CDC25A;CCNA2;DBF4;CCNE2;CCNE1;MCM3;BIRC5;MCM4;MCM6;ITGB3BP;MCM2;BLM;CDCA8;CENPA;AURKB;CCNB2;BRIP1;DSN1;CCNB1;SFN;BUB1;DYNC1I1;CDKN2A;UBE2C;PLK1;CDC7;CDC6;ZWINT;NDC80;CENPE;CENPF;KIF18A;CENPH;CENPI;CENPK;CENPM;CENPN;CENPQ;SPC24;MAD2L1;SPC25
Mitotic Prometaphase	39/203	1.34569382079091e-20	2.04562336737415e-18	39	0.192118226600985	ERCC6L;CDCA5;CDCA8;NCAPG;BUB1B;SMC4;CENPA;NCAPH;AURKB;CDC20;CCNB2;DSN1;CCNB1;NUF2;CEP72;KNTC1;NEK2;BUB1;DYNC1I1;PLK4;CEP152;PLK1;ZWINT;NDC80;CENPE;CENPF;KIF18A;CENPH;CENPI;CENPK;CENPM;BIRC5;CENPN;NCAPD2;CENPQ;SPC24;ITGB3BP;MAD2L1;SPC25
Amplification of Signal From Unattached Kinetochores via a MAD2 Inhibitory Signal	28/94	1.38062319507817e-20	2.04562336737415e-18	28	0.297872340425532	ERCC6L;BUB1B;CDCA8;CENPA;AURKB;CDC20;DSN1;NUF2;KNTC1;BUB1;DYNC1I1;PLK1;NDC80;ZWINT;CENPE;CENPF;KIF18A;CENPH;CENPI;CENPK;BIRC5;CENPM;CENPN;CENPQ;ITGB3BP;SPC24;MAD2L1;SPC25
Amplification of Signal From the Kinetochores	28/94	1.38062319507817e-20	2.04562336737415e-18	28	0.297872340425532	ERCC6L;BUB1B;CDCA8;CENPA;AURKB;CDC20;DSN1;NUF2;KNTC1;BUB1;DYNC1I1;PLK1;NDC80;ZWINT;CENPE;CENPF;KIF18A;CENPH;CENPI;CENPK;BIRC5;CENPM;CENPN;CENPQ;ITGB3BP;SPC24;MAD2L1;SPC25
Resolution of Sister Chromatid Cohesion	31/126	6.16518864203697e-20	7.82978957538696e-18	31	0.246031746031746	ERCC6L;CDCA5;BUB1B;CDCA8;CENPA;AURKB;CDC20;CCNB2;CCNB1;DSN1;NUF2;KNTC1;BUB1;DYNC1I1;PLK1;NDC80;ZWINT;CENPE;KIF18A;CENPF;CENPH;CENPI;CENPK;BIRC5;CENPM;CENPN;CENPQ;ITGB3BP;SPC24;MAD2L1;SPC25
Mitotic Spindle Checkpoint	29/111	1.62037449461772e-19	1.80064115714394e-17	29	0.261261261261261	ERCC6L;BUB1B;CDCA8;CENPA;AURKB;CDC20;DSN1;NUF2;KNTC1;BUB1;DYNC1I1;UBE2C;PLK1;NDC80;ZWINT;CENPE;KIF18A;CENPF;CENPH;CENPI;CENPK;BIRC5;CENPM;CENPN;CENPQ;ITGB3BP;SPC24;MAD2L1;SPC25
EML4 and NUDC in Mitotic Spindle Formation	28/116	6.80543258940249e-18	6.72225507997646e-16	28	0.241379310344828	ERCC6L;BUB1B;CDCA8;CENPA;AURKB;CDC20;DSN1;NUF2;KNTC1;BUB1;DYNC1I1;PLK1;NDC80;ZWINT;CENPE;KIF18A;CENPF;CENPH;CENPI;CENPK;BIRC5;CENPM;CENPN;CENPQ;ITGB3BP;SPC24;MAD2L1;SPC25
Mitotic G1 Phase and G1 S Transition	29/139	1.20251755633148e-16	9.71852825071533e-15	29	0.20863309352518	TOP2A;PRIM2;MCM8;PRIM1;GMNN;MCM10;LIN9;TYMS;CCNB1;E2F1;E2F2;MYBL2;TK1;CDKN2B;CDKN2C;RRM2;CDKN2A;CDC7;CDC6;CDC25A;CCNA2;DBF4;CCNE2;CCNE1;POLE2;MCM3;MCM4;MCM6;MCM2
